Course,DATE,Difficulty,Condition,Pace,Cost,location,People ,Range
Sherrill Park C1,1/3/2025,6,7,7,8,7,7,7
Plantation,1/24/2025,3,6,6,8,10,7,8
Sherrill Park C1,2/4/2025,6,7,7,8,7,7,7
Sherrill Park C1,2/5/2025,6,7,7,8,7,7,7
Plantation,2/7/2025,3,6,6,8,10,7,8
Tanglewood,2/8/2025,5,7,7,3,7,7,9
Tanglewood,2/15/2025,5,7,7,3,7,7,9
Sherrill Park C1,2/23/2025,6,7,7,8,7,7,7
Sherrill Park C1,2/24/2025,6,7,7,8,7,7,7
Sherrill Park C1,2/26/2025,6,7,7,8,7,7,7
Tanglewood,2/28/2025,5,7,7,3,7,7,9
Tanglewood,3/7/2025,5,7,7,3,7,7,9
Tanglewood,4/7/2025,5,7,7,3,7,7,9
Tanglewood,4/8/2025,5,7,7,3,7,7,9
Sherrill Park C1,4/10/2025,6,7,7,8,7,7,7
Tanglewood,4/11/2025,5,7,7,3,7,7,9
Sherrill Park C2,7/15/2025,5,7,7,8,7,7,7
Sherrill Park C2,7/21/2025,5,7,7,8,7,7,7
Sherrill Park C2,7/24/2025,5,7,7,8,7,7,7
Plantation,7/25/2025,3,6,6,8,10,7,8
Sherrill Park C1,8/13/2025,6,7,7,8,7,7,7
Sherrill Park C2,8/19/2025,5,7,7,8,7,7,7
Sherrill Park C2,8/21/2025,5,7,7,8,7,7,7
Sherrill Park C2,8/26/2025,5,7,7,8,7,7,7
Plantation,9/4/2025,3,6,6,8,10,7,8
Pecan Hallow,9/5/2025,5,6,5,5,5,5,5
Sherrill Park C2,9/10/2025,5,7,7,8,7,7,7
Plantation,9/17/2025,3,6,6,8,10,7,8
Sherrill Park C2,9/25/2025,5,7,7,8,7,7,7
Bridges Gunter,9/28/2025,4,5,5,2,2,5,5
Sherrill Park C2,9/30/2025,5,7,7,8,7,7,7
Sherrill Park C2,10/22/2025,5,7,7,8,7,7,7
Plantation,11/7/2025,3,6,6,8,10,7,8
Tanglewood,11/8/2025,5,7,7,3,7,7,9
Ridgeview,11/14/2025,7,7,5,7,8,5,4
Sherrill Park C2,12/12/2025,5,7,7,8,7,7,7
Tanglewood,12/13/2025,5,7,7,3,7,7,9
Sherrill Park C1,12/19/2025,6,7,7,8,7,7,7
Plantation,12/20/2025,3,6,6,8,10,7,8
Plantation,12/23/2025,3,6,6,8,10,7,8
